system:index,NDSI,NDVI,NDWI,label,subregion,.geo
1_00000000000000000000_0,-0.21266112,0.16867618,-0.18204926,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000001_0,-0.13939752,0.1303187,-0.1463779,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000002_0,-0.1629668,0.20933603,-0.21671833,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000003_0,-0.16935933,0.21812917,-0.21936572,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000004_0,-0.17409779,0.23711456,-0.2508725,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000005_0,-0.14528787,0.29864496,-0.27927175,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000006_0,-0.15807505,0.21986987,-0.22021249,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000007_0,-0.16661184,0.1890089,-0.19782692,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000008_0,-0.1867255,0.19504304,-0.21460888,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000009_0,-0.14248103,0.1725539,-0.1788006,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000a_0,-0.18956876,0.29336205,-0.28496814,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000b_0,-0.24809454,0.107298955,-0.15280622,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000c_0,-0.25040925,0.104302466,-0.13568525,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000d_0,-0.1733526,0.18858437,-0.20040649,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000e_0,-0.17787695,0.09712361,-0.14355683,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000000f_0,-0.08809098,0.13758676,-0.1309543,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000010_0,-0.24788898,0.143237,-0.17720473,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000011_0,-0.005798236,0.04486359,-0.024829213,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000012_0,-0.26186532,0.14702311,-0.18678989,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000013_0,-0.25421274,0.16903049,-0.20893425,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000014_0,0.006005752,0.06982062,-0.06271703,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015_0,-0.18111663,0.19440745,-0.20863833,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000016_0,-0.26154593,0.14428169,-0.18132222,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017_0,-0.24629506,0.13196753,-0.17094441,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018_0,-0.13750722,0.20069578,-0.1977211,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019_0,-0.14983495,0.17437406,-0.18040894,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001a_0,-0.2259681,0.2851594,-0.28250706,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001b_0,-0.18985565,0.19270042,-0.19852915,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001c_0,-0.24853256,0.13521627,-0.1689159,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001d_0,-0.20651014,0.16863047,-0.19343282,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001e_0,-0.1973924,0.27369258,-0.29093271,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001f_0,-0.146666,0.09822694,-0.11050111,0,Southern Rockies,"{""type"":""MultiPoint"",""coordinates"":[]}"
