system:index,.geo
0,"{""type"":""Point"",""coordinates"":[-107.54937686940583,38.96138968480245]}"
1,"{""type"":""Point"",""coordinates"":[-118.24566954026481,47.95736996692997]}"
2,"{""type"":""Point"",""coordinates"":[-113.35992072450061,43.76453446397386]}"
3,"{""type"":""Point"",""coordinates"":[-106.42673165008783,38.731785626674245]}"
4,"{""type"":""Point"",""coordinates"":[-106.87619122086724,37.923670268588346]}"
5,"{""type"":""Point"",""coordinates"":[-110.78195251622074,43.445277232060384]}"
6,"{""type"":""Point"",""coordinates"":[-108.73548712502479,42.09133005903345]}"
7,"{""type"":""Point"",""coordinates"":[-110.71231776651098,43.71977731589768]}"
8,"{""type"":""Point"",""coordinates"":[-112.97436892375508,45.58047309259002]}"
9,"{""type"":""Point"",""coordinates"":[-109.04756496815632,38.39044813155121]}"
10,"{""type"":""Point"",""coordinates"":[-107.63387176096946,38.9367043336303]}"
11,"{""type"":""Point"",""coordinates"":[-107.68871300204154,41.85259092624116]}"
12,"{""type"":""Point"",""coordinates"":[-108.51493288412124,41.225934529613404]}"
13,"{""type"":""Point"",""coordinates"":[-110.27007730696668,38.55280415072853]}"
14,"{""type"":""Point"",""coordinates"":[-113.65230614530866,43.67338941579853]}"
15,"{""type"":""Point"",""coordinates"":[-106.71428902601066,38.407373593060896]}"
16,"{""type"":""Point"",""coordinates"":[-108.40025574644726,37.385824844059115]}"
17,"{""type"":""Point"",""coordinates"":[-106.06474779841449,38.44629213279247]}"
18,"{""type"":""Point"",""coordinates"":[-105.5186556734744,42.310374114839895]}"
19,"{""type"":""Point"",""coordinates"":[-115.91416433607948,48.89586556427616]}"
20,"{""type"":""Point"",""coordinates"":[-108.49476906144159,40.07077680350837]}"
21,"{""type"":""Point"",""coordinates"":[-107.44589809204518,38.01401029866897]}"
22,"{""type"":""Point"",""coordinates"":[-108.32354437635561,43.5678390072544]}"
23,"{""type"":""Point"",""coordinates"":[-110.75087777207263,45.40333380072708]}"
24,"{""type"":""Point"",""coordinates"":[-110.87752863395082,44.12494831608438]}"
25,"{""type"":""Point"",""coordinates"":[-106.91700911759546,40.27340162202086]}"
26,"{""type"":""Point"",""coordinates"":[-113.8761060684529,44.84118782325609]}"
27,"{""type"":""Point"",""coordinates"":[-111.31289698134148,42.14454111522615]}"
28,"{""type"":""Point"",""coordinates"":[-110.74559150324237,38.6273135083983]}"
29,"{""type"":""Point"",""coordinates"":[-108.17134333772513,42.28658599297622]}"
30,"{""type"":""Point"",""coordinates"":[-106.1348888442153,41.27093555583287]}"
